Index,Task,Dataset,Method,Pred_Labels_Accuracy,Pred_Series_MAE,Pred_Labels_F1Score,Pred_Labels_AUC,Pred_Labels_Len,Pred_Labels_Truth_Len,HistLen,Pred_Series_Len,Pred_Series_Truth_Len,Pred_Labels,Pred_Labels_Truth,Pred_Series,Pred_Series_Truth
1,UNDERSTANDING,TSQA,Window,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
2,UNDERSTANDING,TSQA,Window (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'downward trend', 'downward trend', 'level shift outlier', 'sudden spike outlier', 'upward trend', 'downward trend', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
3,UNDERSTANDING,TSQA,Inf-LLM,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
4,UNDERSTANDING,TSQA,Inf-LLM (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'downward trend', 'upward trend', 'sudden spike outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
5,UNDERSTANDING,TSQA,Window,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
6,UNDERSTANDING,TSQA,Window (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'downward trend', 'downward trend', 'level shift outlier', 'sudden spike outlier', 'upward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
7,UNDERSTANDING,TSQA,Inf-LLM,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
8,UNDERSTANDING,TSQA,Inf-LLM (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'downward trend', 'downward trend', 'upward trend', 'level shift outlier', 'sudden spike outlier', 'sudden spike outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
9,UNDERSTANDING,TSQA,Window,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend', 'downward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
10,UNDERSTANDING,TSQA,Window (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'downward trend', 'downward trend', 'upward trend', 'level shift outlier', 'upward trend', 'level shift outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
11,UNDERSTANDING,TSQA,Inf-LLM,0.0,0.0,0.0,0.0,8,8,2560,0,0,"['level shift outlier', 'upward trend', 'downward trend', 'sudden spike outlier', 'level shift outlier', 'upward trend', 'sudden spike outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
12,UNDERSTANDING,TSQA,Inf-LLM (+v),0.125,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'downward trend', 'downward trend', 'upward trend', 'level shift outlier', 'upward trend', 'sudden spike outlier', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
13,UNDERSTANDING,TSQA,InfTS-LLM,0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'upward trend', 'level shift outlier', 'increased volatility', 'downward trend', 'increased volatility', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
14,UNDERSTANDING,TSQA,InfTS-LLM (+v),0.375,0.0,0.0,0.0,8,8,2560,0,0,"['sudden spike outlier', 'upward trend', 'upward trend', 'level shift outlier', 'increased volatility', 'downward trend', 'increased volatility', 'upward trend']","['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
15,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
